encuesta,estrato,region,sexo,edad,nivel_educativo,cantidad_de_integrantes_en_el_hogar,voto,voto_anterior
Nacional,Ciudad de Buenos Aires,Región Metropolitana,masculino,17,sec,2,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,44,sec,2,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,43,prim,6,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,20,sec,1,Bullrich,Macri
Nacional,Chaco,Región NEA,masculino,77,terc,2,Bullrich,Macri
Nacional,Santa Fe,Región Pampeana,femenino,45,sec,4,Schiaretti,Lavagna
Nacional,Buenos Aires,Región Metropolitana,femenino,21,sec,1,Bullrich,Macri
Nacional,Misiones,Región NEA,femenino,21,prim,2,Milei,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,29,sec,2,Bullrich,Fernández
Nacional,Santa Fe,Región Pampeana,femenino,49,prim,6,Bullrich,Macri
Nacional,Ciudad de Buenos Aires,Región Metropolitana,femenino,38,prim,3,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,48,terc,1,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,76,terc,4,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,27,terc,5,Massa,Fernández
Nacional,Santa Fe,Región Pampeana,masculino,55,pos,2,Milei,Fernández
Nacional,Ciudad de Buenos Aires,Región Metropolitana,femenino,69,sec,1,Bullrich,Macri
Nacional,Chaco,Región NEA,femenino,41,prim,4,Bullrich,Macri
Nacional,Santa Fe,Región Pampeana,femenino,36,prim,6,Massa,Fernández
Nacional,Ciudad de Buenos Aires,Región Metropolitana,masculino,59,sec,3,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,47,univ,2,Milei,Lavagna
Nacional,Río Negro,Región Patagonia,masculino,63,univ,3,Bullrich,Macri
Nacional,Córdoba,Región Pampeana,masculino,24,prim,4,Schiaretti,Otro/Blanco
Nacional,Ciudad de Buenos Aires,Región Metropolitana,femenino,54,terc,3,Milei,Macri
Nacional,Santa Fe,Región Pampeana,femenino,29,sec,1,Massa,Fernández
Nacional,Tucumán,Región NOA,masculino,17,terc,2,Milei,Macri
Nacional,San Luis,Región Cuyo,femenino,53,sec,5,Massa,Fernández
Nacional,Córdoba,Región Pampeana,masculino,63,sec,6,Massa,Fernández
Nacional,Tucumán,Región NOA,masculino,24,sec,6,Massa,Fernández
Nacional,Tucumán,Región NOA,masculino,40,sec,2,Otro/Blanco,Fernández
Nacional,Ciudad de Buenos Aires,Región Metropolitana,femenino,30,sec,1,Massa,Fernández
Nacional,Misiones,Región NEA,masculino,26,terc,3,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,49,terc,3,Schiaretti,Fernández
Nacional,Santa Fe,Región Pampeana,masculino,21,univ,3,Milei,Otro/Blanco
Nacional,Córdoba,Región Pampeana,femenino,33,sec,2,Massa,Fernández
Nacional,Ciudad de Buenos Aires,Región Metropolitana,femenino,52,sec,4,Otro/Blanco,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,55,sec,1,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,81,sec,2,Bullrich,Macri
Nacional,Misiones,Región NEA,femenino,24,prim,3,Milei,Macri
Nacional,La Rioja,Región NOA,masculino,19,sec,2,Milei,Macri
Nacional,Santiago del Estero,Región NOA,femenino,46,univ,3,Massa,Fernández
Nacional,Misiones,Región NEA,masculino,75,sec,3,Massa,Fernández
Nacional,Salta,Región NOA,masculino,27,prim,1,Massa,Fernández
Nacional,Chaco,Región NEA,femenino,37,sec,3,Massa,Fernández
Nacional,Santa Fe,Región Pampeana,masculino,80,prim,2,Massa,Otro/Blanco
Nacional,Catamarca,Región NOA,femenino,20,sec,5,Bullrich,Macri
Nacional,San Luis,Región Cuyo,masculino,56,terc,3,Otro/Blanco,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,44,terc,1,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,66,sec,4,Schiaretti,Macri
Nacional,Ciudad de Buenos Aires,Región Metropolitana,femenino,17,sec,2,Massa,Fernández
Nacional,Córdoba,Región Pampeana,masculino,56,sec,1,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,40,terc,6,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,35,univ,3,Milei,Macri
Nacional,Salta,Región NOA,masculino,29,sec,1,Bullrich,Fernández
Nacional,Ciudad de Buenos Aires,Región Metropolitana,masculino,71,univ,4,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,24,prim,1,Otro/Blanco,Otro/Blanco
Nacional,Buenos Aires,Región Metropolitana,masculino,27,univ,2,Otro/Blanco,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,46,prim,1,Schiaretti,Otro/Blanco
Nacional,Buenos Aires,Región Metropolitana,masculino,18,sec,4,Massa,Fernández
Nacional,Entre Ríos,Región Pampeana,femenino,31,prim,1,Bullrich,Macri
Nacional,Río Negro,Región Patagonia,femenino,68,prim,3,Otro/Blanco,Fernández
Nacional,San Juan,Región Cuyo,femenino,22,sec,1,Milei,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,29,terc,1,Milei,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,26,sec,5,Otro/Blanco,Otro/Blanco
Nacional,Chaco,Región NEA,femenino,17,terc,4,Bregman,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,40,prim,4,Otro/Blanco,Macri
Nacional,La Rioja,Región NOA,femenino,27,univ,3,Massa,Fernández
Nacional,Santa Fe,Región Pampeana,femenino,32,sec,4,Bullrich,Macri
Nacional,Jujuy,Región NOA,masculino,25,sec,5,Otro/Blanco,Lavagna
Nacional,Santa Fe,Región Pampeana,femenino,72,terc,2,Massa,Macri
Nacional,Tucumán,Región NOA,masculino,73,prim,4,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,28,univ,3,Milei,Macri
Nacional,Ciudad de Buenos Aires,Región Metropolitana,masculino,18,prim,2,Otro/Blanco,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,16,prim,3,Massa,Fernández
Nacional,Salta,Región NOA,femenino,36,univ,2,Otro/Blanco,Macri
Nacional,Ciudad de Buenos Aires,Región Metropolitana,femenino,71,sec,3,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,68,sec,2,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,17,univ,1,Milei,Fernández
Nacional,Tucumán,Región NOA,masculino,28,sec,6,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,32,sec,2,Bregman,Macri
Nacional,Tucumán,Región NOA,masculino,22,prim,2,Otro/Blanco,Lavagna
Nacional,Buenos Aires,Región Metropolitana,masculino,21,terc,4,Bullrich,Macri
Nacional,Santa Fe,Región Pampeana,femenino,68,terc,2,Schiaretti,Fernández
Nacional,Córdoba,Región Pampeana,masculino,44,prim,3,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,53,univ,6,Massa,Fernández
Nacional,Ciudad de Buenos Aires,Región Metropolitana,femenino,36,prim,4,Massa,Fernández
Nacional,San Luis,Región Cuyo,masculino,51,sec,6,Massa,Fernández
Nacional,Ciudad de Buenos Aires,Región Metropolitana,femenino,21,terc,5,Massa,Fernández
Nacional,Misiones,Región NEA,masculino,16,sec,5,Bregman,Macri
Nacional,Corrientes,Región NEA,femenino,42,sec,2,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,46,terc,4,Schiaretti,Fernández
Nacional,Misiones,Región NEA,femenino,20,terc,4,Milei,Fernández
Nacional,Chaco,Región NEA,femenino,79,univ,3,Bullrich,Otro/Blanco
Nacional,Buenos Aires,Región Metropolitana,femenino,46,prim,2,Milei,Fernández
Nacional,Santiago del Estero,Región NOA,masculino,28,sec,3,Massa,Fernández
Nacional,Mendoza,Región Cuyo,femenino,54,sec,3,Milei,Fernández
Nacional,Córdoba,Región Pampeana,femenino,22,univ,5,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,75,terc,2,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,16,sec,4,Milei,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,31,sec,4,Massa,Fernández
Nacional,Santa Fe,Región Pampeana,femenino,26,prim,6,Massa,Fernández
Nacional,Mendoza,Región Cuyo,femenino,70,prim,1,Milei,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,47,prim,4,Massa,Fernández
Nacional,Chaco,Región NEA,masculino,55,sec,2,Bullrich,Fernández
