id,Elecciones,Partido,Porcentaje,Votos,Participacion,Electores,Votantes
"BUENOS AIRES","GENERALES 2015","BLANCO","2.36","223902","78.9","12033279","9494724"
"CATAMARCA","GENERALES 2015","BLANCO","4.26","8453","77.14","256962","198211"
"CHACO","GENERALES 2015","BLANCO","1.32","8610","77.07","846205","652162"
"CHUBUT","GENERALES 2015","BLANCO","9.58","29877","78.41","397763","311901"
"CIUDAD AUTONOMA DE BUENOS AIRES","GENERALES 2015","BLANCO","1.06","21085","78.51","2539182","1993531"
"CORDOBA","GENERALES 2015","BLANCO","1.22","26821","79.37","2760913","2191407"
"CORRIENTES","GENERALES 2015","BLANCO","1.37","8652","78.28","805577","630579"
"ENTRE RIOS","GENERALES 2015","BLANCO","3.7","29462","84.26","945362","796554"
"FORMOSA","GENERALES 2015","BLANCO","2.75","7473","79.13","343149","271517"
"JUJUY","GENERALES 2015","BLANCO","4.05","15945","83.36","472193","393640"
"LA PAMPA","GENERALES 2015","BLANCO","5.38","11895","81.96","269778","221114"
"LA RIOJA","GENERALES 2015","BLANCO","2.39","4890","77.62","263520","204539"
"MENDOZA","GENERALES 2015","BLANCO","1.41","15712","81.82","1358598","1111583"
"MISIONES","GENERALES 2015","BLANCO","4.89","33047","82.03","823227","675281"
"NEUQUEN","GENERALES 2015","BLANCO","3.72","14447","83.14","467030","388297"
"RIO NEGRO","GENERALES 2015","BLANCO","2.14","8755","80.31","509474","409163"
"SALTA","GENERALES 2015","BLANCO","0.9","6384","76.02","929095","706284"
"SAN JUAN","GENERALES 2015","BLANCO","4.97","21266","82.47","518975","427983"
"SAN LUIS","GENERALES 2015","BLANCO","3.96","11327","81.96","349034","286061"
"SANTA CRUZ","GENERALES 2015","BLANCO","3.65","6485","77.25","229901","177596"
"SANTA FE","GENERALES 2015","BLANCO","2.52","52318","77.9","2660093","2072234"
"SANTIAGO DEL ESTERO","GENERALES 2015","BLANCO","1.33","7488","81.04","695489","563641"
"TIERRA DEL FUEGO","GENERALES 2015","BLANCO","1.89","1791","75.27","125780","94672"
"TUCUMAN","GENERALES 2015","BLANCO","2.1","19943","82.38","1154195","950828"
"BUENOS AIRES","GENERALES 2015","CAMBIEMOS","32.92","3031168","78.9","12033279","9494724"
"CATAMARCA","GENERALES 2015","CAMBIEMOS","35.38","66529","77.14","256962","198211"
"CHACO","GENERALES 2015","CAMBIEMOS","28.28","181189","77.07","846205","652162"
"CHUBUT","GENERALES 2015","CAMBIEMOS","21.38","59136","78.41","397763","311901"
"CIUDAD AUTONOMA DE BUENOS AIRES","GENERALES 2015","CAMBIEMOS","50.55","990826","78.51","2539182","1993531"
