diputado,bloque,proyecto,voto
D000,Unión por la Patria,ley_bases,ausente
D000,Unión por la Patria,reforma_laboral,contra
D000,Unión por la Patria,presupuesto,contra
D000,Unión por la Patria,privatizaciones,contra
D000,Unión por la Patria,retenciones_agro,contra
D000,Unión por la Patria,coparticipacion,contra
D000,Unión por la Patria,obra_publica_prov,favor
D000,Unión por la Patria,emergencia_jubilados,favor
D000,Unión por la Patria,financiamiento_univ,favor
D000,Unión por la Patria,salud_emergencia,favor
D000,Unión por la Patria,boleta_unica,contra
D000,Unión por la Patria,ficha_limpia,favor
D000,Unión por la Patria,reforma_politica,favor
D000,Unión por la Patria,dnu_delegadas,contra
D000,Unión por la Patria,tarifas_energia,contra
D001,Unión por la Patria,ley_bases,contra
D001,Unión por la Patria,reforma_laboral,contra
D001,Unión por la Patria,presupuesto,contra
D001,Unión por la Patria,privatizaciones,contra
D001,Unión por la Patria,retenciones_agro,favor
D001,Unión por la Patria,coparticipacion,favor
D001,Unión por la Patria,obra_publica_prov,favor
D001,Unión por la Patria,emergencia_jubilados,ausente
D001,Unión por la Patria,financiamiento_univ,favor
D001,Unión por la Patria,salud_emergencia,favor
D001,Unión por la Patria,boleta_unica,favor
D001,Unión por la Patria,ficha_limpia,contra
D001,Unión por la Patria,reforma_politica,favor
D001,Unión por la Patria,dnu_delegadas,ausente
D001,Unión por la Patria,tarifas_energia,contra
D002,Unión por la Patria,ley_bases,contra
D002,Unión por la Patria,reforma_laboral,contra
D002,Unión por la Patria,presupuesto,contra
D002,Unión por la Patria,privatizaciones,contra
D002,Unión por la Patria,retenciones_agro,contra
D002,Unión por la Patria,coparticipacion,favor
D002,Unión por la Patria,obra_publica_prov,favor
D002,Unión por la Patria,emergencia_jubilados,favor
D002,Unión por la Patria,financiamiento_univ,favor
D002,Unión por la Patria,salud_emergencia,favor
D002,Unión por la Patria,boleta_unica,contra
D002,Unión por la Patria,ficha_limpia,contra
D002,Unión por la Patria,reforma_politica,contra
D002,Unión por la Patria,dnu_delegadas,contra
D002,Unión por la Patria,tarifas_energia,contra
D003,Unión por la Patria,ley_bases,contra
D003,Unión por la Patria,reforma_laboral,contra
D003,Unión por la Patria,presupuesto,ausente
